Symbol,Market Cap,Volume,Revenue Growth (YoY),Revenue Growth (Q),EPS Growth,Gross Margin,Operating Income,EBIT,Free Cash Flow,FCF Margin,EV/EBITDA,Debt / Equity,Net Debt / EBITDA,Short % Float,Revenue Growth Est.,Rev Growth This Quarter,Rev Growth Next Quarter,Rev Growth This Year,Rev Growth Next Year,EPS Growth Est.,EPS Growth This Quarter,EPS Growth Next Quarter,EPS Growth This Year,EPS Growth Next Year,Shares Insiders,Earnings Date,Price Change 20-Day MA,Price Change 50-Day MA,Price Change 200-Day MA,Relative Strength Index (RSI),Relative Volume,52-Week Low Price,52-Week High Price,Stock Price,Average True Range (ATR),PS Ratio,Forward PS,PE Ratio,Forward PE
OPTX,345895433,1242631,-1.29%,2.51%,,23.25%,-517600,-557475,28343,0.10%,173.51233,1.16993,5.25512,18.03%,,,,,,,,,,,83.63%,2026-03-31,20.32%,29.20%,177.28%,61.969,187.99%,1.04,9.97,9.35,1.08314965391989,12.31647,,,
POWL,8412416508,708697,5.12%,4.04%,16.86%,30.18%,225059000,241149000,161534000,14.50%,31.80377,0.00218,-2.00711,3.88%,6.67%,8.76%,11.12%,11.20%,9.12%,-65.62%,8.43%,11.44%,12.95%,9.86%,20.90%,2026-05-05,23.93%,28.09%,90.16%,72.332,104.90%,51.488,237.79,230.94,12.732083265596977,7.55106,6.81162,45.01754,40.70939
LOGI,13393079046,1619598,4.60%,6.06%,11.97%,42.89%,745303000,794877000,903559000,18.96%,13.24237,,-2.07963,8.58%,7.14%,9.17%,2.38%,8.30%,2.68%,11.83%,18.93%,24.69%,33.74%,1.36%,0.24%,2026-05-05,-0.60%,0.27%,-9.86%,48.332,162.67%,68.19,123.01,91.26,2.8201210196279023,2.81037,2.67007,19.13208,12.3457
PLAB,2647591360,1015691,-0.06%,6.09%,-0.85%,35.14%,210844000,163504000,66014000,7.66%,8.37394,0.00002,-2.65223,4.58%,2.63%,7.29%,4.74%,6.70%,4.96%,32.50%,-13.75%,277.89%,2.89%,7.39%,3.62%,2026-05-27,13.90%,19.14%,60.45%,65.498,109.03%,16.59,45.923,44.9,2.427794249676306,3.07066,2.89607,19.27039,19.13896
FRA:KLA,,17,,,,,,,,,,,,,,,,,,,,,,,,2026-01-29,13.56%,17.53%,45.94%,69.589,69.11%,535.4,1493.8,1487.2,50.35064456144153,,,,
KLAC,228265284435,686675,17.50%,7.16%,44.55%,61.57%,5518768000,5518768000,4377385000,34.35%,38.74237,1.07692,0.11484,2.29%,10.19%,12.34%,13.46%,12.49%,22.22%,8.92%,14.41%,9.93%,22.81%,31.05%,0.10%,2026-04-29,14.05%,17.10%,45.46%,70.13,72.57%,607.7,1759.96,1737.28,68.8485079759959,17.91073,15.05708,50.56112,40.51602
DRS,12253190769,1123162,12.80%,8.05%,28.75%,23.82%,348000000,344000000,227000000,6.22%,27.35284,0.12711,-0.6865,4.09%,3.07%,5.21%,10.65%,8.14%,6.54%,,9.75%,36.05%,23.08%,10.96%,71.67%,2026-05-05,1.00%,6.05%,11.97%,53.198,106.29%,32.43,49.31,46.06,1.773367467758028,3.35888,3.11561,44.71845,36.33782
Q,27391935285,1390476,9.67%,8.08%,-0.30%,46.17%,969000000,990000000,988000000,20.78%,26.31918,0.56758,2.68507,1.67%,,14.49%,9.57%,9.82%,7.49%,,,,14.10%,17.13%,0.07%,2026-05-12,12.06%,15.51%,,65.068,78.76%,70.5,140.6,130.65,5.971829280664581,5.76187,5.25253,39.59091,33.90372
EQIX,101226128176,342682,5.36%,7.03%,61.88%,51.09%,1848000000,2037000000,-1394000000,-15.12%,29.42362,1.6054,4.75238,1.96%,12.79%,16.22%,13.10%,12.32%,8.85%,-32.37%,25.92%,9.03%,23.72%,9.41%,0.28%,2026-04-29,4.56%,9.45%,25.13%,73.173,61.79%,710.52,1039.9,1030.24,20.765401459649546,10.98255,9.72767,74.87209,61.82109
AMS:BESI,16654731836,458449,-2.66%,8.43%,-27.56%,62.35%,173056000,185775000,155026000,26.22%,87.3895,1.27194,-0.06083,,,,,,,,,,,,10.85%,2026-02-19,12.93%,17.31%,45.95%,68.021,90.93%,80.94,214,211.5,10.303171266798596,28.16482,,123.4132,59.1716
CAMT,7998378293,354684,15.57%,9.23%,-57.03%,50.46%,27271000,27271000,127475000,25.70%,201.02564,0.84251,-3.79839,,1.04%,3.29%,4.39%,14.61%,19.36%,-17.72%,-0.47%,10.95%,237.26%,26.18%,37.68%,2026-05-12,7.13%,10.15%,47.52%,58.83,80.13%,55,180.83,174.53,10.224338403790956,16.12342,14.06036,167.81731,49.43813
SMTC,7921298452,3389315,15.47%,9.30%,,51.63%,32565000,20074000,171393000,16.32%,123.74973,0.89361,4.45846,4.95%,12.76%,11.02%,15.09%,20.10%,13.01%,2.63%,1.34%,109.28%,,31.82%,0.75%,2026-05-26,6.80%,1.26%,23.49%,54.301,110.92%,24.05,96.46,85.22,5.863754345990875,7.54427,6.27226,,37.96078
TXN,195503719990,4267430,13.05%,10.38%,4.81%,57.02%,6023000000,6253000000,2603000000,14.72%,24.80256,0.86327,1.11088,2.21%,11.15%,12.21%,9.94%,11.66%,10.41%,7.03%,8.15%,12.25%,19.71%,20.96%,0.29%,2026-04-22,9.59%,3.89%,12.78%,66.424,72.91%,139.95,231.32,214.73,5.89695369732676,11.05665,9.88541,39.4,33.03869
STO:SIVE,3403435207,17084996,24.73%,5.21%,,87.24%,-143000000,-62100000,-108500000,-35.68%,-7.6126,0.11348,,,,,,,,,,,,,13.27%,2026-02-26,35.37%,126.62%,209.11%,66.275,56.66%,2.85,15.42,13.4,1.858735639556725,11.19183,,-19.42,
FSLR,21834569170,1610263,24.09%,11.15%,18.22%,40.62%,1596864000,1625044000,1187230000,22.75%,9.04152,0.05227,-1.09401,7.65%,24.89%,25.86%,11.65%,1.45%,17.05%,46.15%,51.68%,36.06%,26.95%,31.39%,5.43%,2026-04-28,4.22%,-2.52%,-7.36%,53.113,97.34%,117.65,285.99,203.47,8.494626707077403,4.18337,4.16055,14.31879,11.40441
ESLT,43067394244,79037,16.27%,11.31%,58.64%,24.38%,671424000,728496000,553943000,6.98%,48.02202,0.23363,0.16564,,11.04%,9.66%,11.93%,11.90%,6.56%,31.52%,29.78%,27.41%,25.78%,12.13%,41.50%,2026-05-19,2.10%,13.12%,57.89%,58.07,45.07%,369,1016.06,925.24,36.38345300031145,5.42504,4.83903,81.23266,65.25885
VICR,8359851941,325372,26.08%,11.54%,1764.29%,57.31%,81828000,94531000,119230000,26.34%,69.06374,0.01008,-3.4308,7.16%,17.69%,18.37%,31.74%,37.01%,39.47%,566.67%,553.95%,-37.23%,6.95%,80.39%,28.02%,2026-04-21,8.09%,7.83%,85.57%,56.896,35.77%,38.925,209.53,185.61,14.605177109240444,18.46661,14.96653,71.11494,66.49343
CLSK,2562644188,16922330,67.96%,11.63%,,3.61%,-207581000,-249087000,-826962000,-105.32%,21.96636,1.29447,3.57374,34.27%,-17.88%,-10.76%,-8.05%,-4.77%,19.89%,,,,,,3.54%,2026-05-07,6.12%,2.02%,-17.95%,54.542,86.75%,6.94,23.61,10.02,0.761383723258778,3.26373,3.47727,,13.1926
VSH,3058284541,2246320,4.47%,12.06%,,19.38%,56868000,64164000,-87823000,-2.86%,12.51736,0.51394,1.93148,11.23%,14.43%,15.86%,12.75%,12.58%,6.69%,,,1162.50%,,96.11%,3.21%,2026-05-06,22.71%,19.92%,36.34%,74.299,123.67%,10.565,22.57,22.47,1.0033380313065314,0.99649,0.88523,,38.02996
CEG,89471105055,2691177,8.34%,12.86%,-37.76%,15.94%,3086000000,4017000000,1220000000,4.78%,14.17318,0.61899,0.65382,2.81%,34.14%,33.24%,33.60%,17.52%,7.82%,22.90%,571.72%,-0.89%,57.13%,17.31%,0.35%,2026-05-05,-1.95%,-2.77%,-12.76%,46.486,90.49%,188.006,412.7,286.5,13.872319297743395,3.50414,2.55056,38.71622,24.00916
ETN,156357955000,2219465,10.33%,13.06%,10.00%,37.59%,5209000000,5169000000,3633000000,13.24%,26.89667,0.54219,1.57555,1.92%,11.52%,11.76%,10.79%,11.61%,9.49%,1.10%,13.17%,27.52%,28.15%,15.50%,0.07%,2026-05-01,9.95%,9.66%,12.39%,68.169,92.80%,255.1,408.45,403,13.163752202775523,5.69652,5.10024,38.56459,29.93832
FORM,9650754720,1743300,2.80%,13.55%,-22.47%,39.34%,57070000,67886000,11740000,1.50%,83.70098,0.03125,-2.19421,3.79%,31.52%,34.05%,18.62%,19.43%,7.31%,73.91%,476.16%,295.10%,179.42%,21.36%,0.74%,2026-04-29,21.83%,30.71%,116.24%,72.475,124.64%,23.785,126.3,123.8,6.584213038071442,12.29406,10.29392,179.42029,64.24479
TSEM,22752530266,1961421,9.05%,13.69%,4.87%,23.23%,194172000,185301000,-41079000,-2.62%,44.55684,0.05533,-2.02778,,14.74%,16.97%,19.89%,18.51%,28.99%,20.00%,63.93%,67.30%,55.84%,64.30%,0.00%,2026-05-13,17.27%,39.20%,109.77%,69.409,50.02%,31.62,212,203.59,13.664244185032064,14.52811,12.14505,104.9433,66.7552
TPL,28263968893,1261107,13.09%,13.88%,6.09%,85.00%,592161000,611019000,-3816000,-0.48%,41.77159,0.01109,-0.19098,7.02%,23.48%,21.37%,36.25%,26.54%,14.16%,15.43%,16.80%,49.70%,38.53%,10.93%,0.17%,2026-05-06,-15.96%,-12.44%,16.57%,35.011,220.23%,269.233,547.2,409.97,27.059558176407087,35.41008,27.30132,58.81923,42.48152
MCHP,38723620600,8064051,-3.88%,15.60%,,56.30%,324100000,330000000,819900000,14.75%,42.45489,0.81794,4.95381,4.73%,30.39%,32.72%,27.29%,8.10%,22.45%,318.18%,,,,70.52%,2.09%,2026-05-07,9.54%,1.19%,6.53%,62.116,95.04%,35.475,83.35,71.56,2.818635640991687,6.96668,6.9447,,28.77227
TSX:MAL,1458941796,47978,10.86%,15.63%,11.92%,13.86%,79342000,71513000,25355000,2.43%,16.73358,0.10774,0.20629,1.42%,,,,,,,,,,,79.39%,2025-11-07,13.15%,14.55%,35.66%,64.154,111.55%,11.5,26.83,25.56,1.328855869631094,1.39654,,36.7681,16.4204
AMKR,14334029640,3903897,6.18%,15.89%,4.90%,13.99%,467385000,517842000,301271000,4.49%,11.89102,0.33928,-0.4675,6.64%,25.02%,27.65%,17.18%,13.24%,9.90%,166.67%,187.08%,45.63%,17.78%,31.45%,49.82%,2026-04-27,21.98%,22.21%,61.49%,69.251,120.86%,15.24,58.92,57.96,3.3314676026437384,2.13686,1.87618,38.64,32.82282
BKSY,1263002472,1518826,4.39%,15.95%,,66.87%,-46841000,-55189000,-74871000,-70.25%,,2.19969,,23.10%,-6.27%,-3.08%,37.73%,26.22%,29.28%,,,,,,8.87%,2026-05-07,23.37%,40.27%,58.39%,66.523,74.05%,6.44,36.34,34.14,3.2672839254746697,11.85083,9.33062,,
IPGP,5371809048,287492,2.73%,17.13%,,38.00%,22458000,15239000,-2532000,-0.25%,55.21154,,-10.22411,6.71%,12.32%,14.83%,12.14%,12.18%,8.44%,,200.66%,149.29%,121.99%,52.08%,39.60%,2026-05-05,8.39%,6.30%,41.90%,58.047,77.44%,50.12,155.82,127.32,7.495417315104688,5.3516,4.80097,174.41096,79.0738
COHR,48761848785,7968590,18.63%,17.49%,,36.16%,548335000,568829000,-103617000,-1.65%,46.7922,0.41532,2.40958,3.55%,18.47%,20.90%,26.78%,21.67%,24.53%,46.15%,,,,38.24%,0.50%,2026-05-06,19.32%,24.35%,91.22%,65.936,96.46%,50.81,310.984,307.5,23.29723429872541,7.74696,6.1274,298.54369,47.56445
EPA:XFAB,677979670,203593,6.91%,18.84%,-50.69%,21.18%,67929631,60479312,-55277674,-7.43%,12.72457,0.45609,1.49246,,,,,,,,,,,,61.32%,2026-03-31,8.60%,10.43%,-9.50%,62.722,104.56%,3.644,7.44,5.19,0.2424456482058364,0.91119,,24.76,37.4532
AMBA,2311177034,1214576,37.15%,20.06%,,59.19%,-82527000,-73697000,58005000,14.85%,,0.02259,,5.42%,16.62%,21.63%,18.94%,15.69%,13.06%,,,,,34.84%,4.86%,2026-05-28,0.48%,-9.63%,-25.94%,44.825,151.97%,40.81,96.69,52.78,2.606972855102718,5.91545,5.14418,,68.60288
KLIC,4053684435,923834,-1.94%,20.17%,,42.15%,-72053000,-49812000,76261000,11.09%,,0.04482,,2.54%,41.99%,44.83%,69.37%,45.81%,11.35%,,,,64376.75%,23.57%,3.60%,2026-05-05,15.34%,15.36%,61.69%,67.911,159.96%,28.11,80.97,77.46,3.5603431564332637,5.89557,4.05596,,25.97469
PKE,620887866,247646,7.54%,20.30%,19.44%,31.33%,11759000,13182000,3439000,5.21%,37.10299,0.00308,-4.20692,4.70%,,,,,,,,,,,9.62%,2026-05-14,10.10%,16.30%,46.20%,67.212,99.83%,12.067,31.69,31.16,1.329538449533688,9.39984,,72.46512,17.094
PSTG,20138289074,2158938,15.61%,20.35%,77.42%,70.38%,114816000,224284000,615741000,16.81%,50.52265,0.14951,-3.59814,2.77%,28.60%,19.57%,31.28%,21.74%,15.74%,-17.24%,446.82%,,328.30%,24.04%,5.84%,2026-05-27,-1.90%,-7.24%,-15.29%,45.546,87.15%,39.72,100.59,60.94,3.1094052032959687,5.49799,4.51632,110.8,25.89305
GLW,147097700688,9907469,19.14%,20.39%,215.52%,35.97%,2200000000,2242000000,1424000000,9.11%,42.91048,0.71432,1.92477,2.24%,15.68%,24.88%,21.67%,20.79%,12.74%,27.78%,285.79%,39.46%,71.61%,24.78%,8.15%,2026-04-28,21.19%,26.24%,86.64%,69.697,83.19%,40.16,176.75,171.24,9.442379124564235,9.41184,7.76446,93.57377,54.65953
TSM,1922120417365,13167528,31.61%,20.45%,46.41%,59.00%,60994636066,64788581022,31608667778,25.95%,21.42901,0.17174,-0.80068,,39.07%,35.49%,30.44%,34.09%,24.85%,55.19%,50.40%,44.36%,39.10%,25.01%,0.05%,2026-04-16,8.39%,5.71%,26.07%,62.604,101.01%,145.84,390.205,370.6,13.205260143848756,15.77943,0.37426,34.98464,24.8756
STX,109719068490,3434651,25.18%,21.50%,60.62%,38.65%,2536000000,2472000000,1675000000,16.65%,41.36406,9.80174,1.26206,4.42%,36.20%,37.59%,28.60%,27.72%,25.28%,77.89%,123.19%,73.05%,94.00%,56.95%,0.26%,2026-04-28,18.58%,22.06%,84.13%,68.81,89.38%,67.63,517.176,503.13,28.826156514853466,10.90864,8.357,56.85085,29.70155
TEL,67448584203,1196043,14.16%,21.71%,10.51%,35.69%,3484000000,3558000000,3148000000,17.40%,16.08986,0.43952,0.99731,2.34%,14.15%,15.66%,10.08%,13.91%,7.79%,28.10%,6676.65%,31.60%,81.87%,11.63%,0.12%,2026-04-22,10.72%,6.29%,6.17%,65.202,63.59%,123.276,250.67,229.78,7.64790708779181,3.72747,3.38393,33.10951,20.19995
KTOS,13177046971,2887092,18.52%,21.90%,18.18%,22.86%,25600000,28100000,-137400000,-10.20%,146.02113,0.07304,-4.746,5.95%,13.74%,14.09%,18.03%,25.93%,23.41%,-8.33%,368.37%,884.07%,510.93%,35.93%,1.42%,2026-05-06,-9.92%,-19.02%,-11.28%,40.912,75.72%,30.27,134,70.34,5.980850091886302,9.78397,7.79218,541.07692,88.69554
MRVL,112359108420,41222045,42.09%,22.08%,,51.02%,1322900000,3249200000,1419300000,17.32%,25.15329,0.31245,0.4035,3.25%,26.68%,23.86%,29.11%,24.40%,8.31%,16.13%,255.08%,308.03%,12.58%,13.23%,0.35%,2026-05-28,29.05%,45.43%,55.35%,79.515,173.55%,48.09,129.84,128.49,6.090270470980963,13.71136,10.14804,41.85342,32.83657
VRT,112908495780,4638539,27.68%,22.74%,166.41%,36.32%,1841700000,1828000000,1887400000,18.45%,53.46756,0.80131,0.62262,3.49%,30.02%,30.26%,29.71%,33.98%,23.59%,57.81%,139.46%,72.81%,78.67%,32.27%,0.37%,2026-04-22,11.81%,20.17%,65.81%,66.528,52.42%,65.682,297.56,295.11,14.597117191323942,11.03711,8.19781,86.54252,47.73715
KEYS,55602625816,1178476,13.13%,23.27%,59.14%,61.86%,906000000,1167000000,1342000000,23.64%,37.91945,0.44674,0.40081,1.33%,30.25%,21.03%,32.92%,25.36%,8.04%,28.82%,109.81%,58.46%,83.82%,16.18%,0.59%,2026-05-19,11.07%,19.19%,59.62%,69.585,89.01%,129.26,325.55,324.18,12.104711227608016,9.79437,8.07474,58.20108,34.89499
VOYG,1759629562,1658128,15.42%,23.70%,,17.95%,-108498000,-98433000,-155216000,-93.27%,,1.21651,,15.80%,,29.39%,27.70%,46.86%,52.41%,,,,,,5.41%,2026-05-04,12.85%,9.56%,-1.84%,59.418,102.91%,17.41,73.95,29.78,2.289956884013079,10.57349,7.19208,,
MTSI,19361339577,1030718,29.12%,24.52%,,55.22%,155422000,196349000,132737000,13.00%,73.9736,0.42,-0.77281,4.48%,20.97%,23.38%,21.45%,23.55%,17.74%,11.76%,160.48%,143.50%,,23.90%,10.94%,2026-05-07,11.88%,10.73%,49.73%,63.143,91.29%,93.24,262.08,258.11,13.233320194865854,18.9678,15.48201,119.49537,53.42893
AIR,4804716502,261483,16.85%,24.61%,,19.00%,268400000,310000000,60500000,1.93%,15.16627,0.59614,2.34685,3.33%,19.48%,21.01%,19.33%,18.83%,10.93%,19.19%,,44.66%,1312.08%,15.70%,2.11%,2026-03-24,9.36%,8.17%,35.64%,60.248,43.67%,50.275,124.56,120.83,5.427367448357524,1.53285,1.33501,26.7323,22.23868
SLAB,6960945198,272862,34.29%,25.24%,,58.23%,-70541000,-56937000,65786000,8.38%,,,,4.69%,20.13%,23.06%,20.83%,20.49%,16.65%,,,,,52.45%,1.67%,2026-05-12,1.84%,5.23%,39.07%,76.126,72.16%,84.051,211.68,211.22,2.0923113942340783,8.87011,7.36647,,76.2366
WDC,116435820340,6121889,28.14%,25.24%,190.38%,42.72%,3140000000,3749000000,2307000000,21.49%,28.37523,0.65462,0.14836,8.19%,40.78%,41.85%,32.36%,32.13%,26.89%,69.85%,67.21%,249.06%,75.23%,53.04%,0.53%,2026-04-29,14.88%,21.20%,106.01%,65.976,69.00%,33.42,349.75,343.43,22.19925757196531,10.84738,8.1572,34.48092,30.39874
OTC:ATEYY,115654098858,50518,52.58%,27.75%,115.87%,62.37%,2598436752,2608897308,1938924875,29.62%,37.14409,0.15179,-0.51552,,,,,,,,,,,,,2026-01-28,9.59%,0.38%,32.95%,56.012,62.79%,36.7,195.42,159.3,9.565556865606345,17.66881,,63.3812,34.7222
ASX:EQR,1165974858,28852739,800.28%,151.84%,,-13.21%,-18790492,-16099075,-33677231,-44.69%,-86.90118,0.45882,,,,,,,,,,,,,15.57%,2025-09-29,6.99%,23.64%,214.52%,57.8,67.01%,0.028,0.39,0.34,0.033110782892689046,15.47234,,-34,
SDRL,2967597721,573566,3.75%,25.26%,,28.60%,68000000,10000000,-137000000,-9.53%,12.96612,0.21449,1,,-2.05%,4.16%,0.61%,5.22%,14.20%,,,,,430.36%,0.45%,2026-05-11,4.56%,9.41%,38.41%,62.204,75.60%,18.11,48.99,47.52,1.8237353069238211,2.06513,2.02417,,93.4579
ARM,158163435414,7431269,26.45%,26.35%,-1.32%,97.50%,872000000,820000000,977000000,20.92%,140.83418,0.05604,-2.82016,,18.42%,19.74%,20.42%,23.58%,20.86%,-9.09%,195.19%,205.17%,136.00%,21.10%,0.04%,2026-05-06,5.78%,15.82%,7.47%,58.676,86.35%,95.32,183.16,148.93,8.938054249052273,33.86072,28.02825,198.57333,72.9927
EQT,36632398320,5060839,63.92%,46.98%,635.56%,75.18%,3249619000,3129826000,2837527000,32.83%,7.72342,0.33418,1.33057,4.00%,45.57%,35.53%,13.96%,20.66%,-0.46%,78.81%,408.59%,-48.67%,41.19%,1.04%,0.82%,2026-04-21,-7.38%,-3.45%,4.74%,36.7,61.64%,46.84,68.24,58.68,2.060537411933148,4.2378,3.69539,17.7281,12.38671
CODA,137794577,94766,33.23%,28.80%,2.86%,66.28%,4884076,5764130,6921707,24.66%,14.99822,0.00668,-4.18195,3.44%,19.48%,21.89%,9.26%,18.28%,12.62%,-25.00%,-20.95%,65.75%,47.59%,19.92%,54.20%,2026-03-17,0.34%,-4.44%,25.58%,48.483,41.43%,5.9,17.28,12.22,0.7781447172954689,4.9101,4.27323,33.94444,21.82221
ANET,185555664790,7050546,28.60%,28.88%,23.32%,64.06%,3856100000,4249700000,4252400000,47.22%,40.44436,,-2.48548,1.63%,30.36%,32.78%,28.04%,29.10%,21.80%,18.46%,28.17%,24.04%,30.64%,21.29%,18.00%,2026-05-05,11.66%,9.62%,10.95%,63.2,106.00%,66.59,164.94,147.35,6.343156618720988,20.60425,15.99342,53.58182,41.20352
FTAI,25788903660,1154476,44.53%,32.72%,,40.09%,741287000,854435000,175501000,7.00%,26.78806,10.32064,2.91457,5.51%,52.90%,54.04%,23.70%,34.76%,43.24%,73.56%,79.85%,18.40%,56.49%,58.58%,1.51%,2026-04-29,3.89%,-4.83%,30.99%,50.133,81.34%,85.23,323.51,251.42,14.886463810164065,10.28508,7.6505,54.65652,32.69825
